voltage,current,temperature,state_of_charge,charge_cycles,ambient_temp,speed,payload,trip_distance,charging_time,battery_health
345.52471572278967,42.59932968858266,32.430211261887564,75.89698659741501,831,24.642773800081848,51.1357632961597,754.4377957619029,78.49322849285316,166.4143608485027,79.24342078630073
351.0401115652317,56.01374563219833,34.92559090801418,29.52866776746226,844,21.872368491289073,54.08919489837577,648.5978889072674,98.41229481279338,146.51128580625027,67.57562627772725
367.0430149025074,47.05199796085277,24.723074804957413,50.065030622981425,94,26.826333958797676,49.5534910717449,672.8693694566396,89.47955915861556,164.37579928836925,71.34158852867654
352.5943887653,47.852810662743586,22.17989899153918,61.00550519981358,254,17.16391628982013,35.69670764509089,654.9686974742654,67.83052283878487,185.50206227139702,50.23430446699534
322.6050614702097,54.34833107501765,33.3818507941842,55.36050541190267,370,28.37981388961608,41.02708662885589,216.4841322107083,76.16962885838541,130.82668253436236,57.87019323630682
349.2328869415014,62.613389453633104,27.867188203930127,10.051740454139576,204,24.65991025287726,35.255974616070425,525.7618474006839,121.80341893003356,32.409661837798936,70.23955280134975
341.7842916948687,46.58334938331487,29.19725424078982,81.0730546884232,555,30.702256997161168,48.2401594040767,858.0588417918842,132.99698819299655,99.31975752044306,95.47823457629408
365.9379467221917,58.98025698257054,26.56298326597806,23.655811497771698,604,29.17987149926979,46.55033210964931,879.1318514575934,138.13742417233152,123.93163693576871,94.92956617725814
352.47276855748567,44.711319637800365,30.917954397156763,86.5831467670247,502,28.876112174265582,37.92508542894927,429.5199620825806,92.60112193773995,75.55887206385518,57.951720578320376
339.1462261031183,54.66825119543123,33.65441830928318,76.04820454743752,737,27.067035951757326,33.914975356089265,911.5010542773402,37.877449128668246,59.04189887431728,84.41170673634014
342.0668222104715,54.35226874112344,41.353766664979545,78.58894196992422,481,24.36252267603685,49.98605235927846,627.8543521452643,50.985254161430625,219.4083112559853,60.88502715377436
345.2932114684786,50.85034585276157,29.988717470464785,55.48467402362532,346,27.027815709482294,54.9510582652775,572.7854537545554,69.83687005390134,86.89223755457546,82.28276106956116
358.34889184504624,48.55247350863767,37.5824066038834,93.83273564486814,930,25.939420571164266,35.08965376241508,695.7403997376318,149.21424376888723,145.74623052157574,67.08060059666626
353.59602975316784,43.20745548645077,38.2451216162613,22.6213158418021,952,28.534964909642706,51.98190781432347,376.6845155597655,63.43135632339842,119.19236851060214,87.00746985766003
359.22745396519633,45.065598203357354,33.17826248237555,57.49410074928312,128,28.37593823399407,41.55646125906641,360.8406033298839,25.649648682566202,193.64243069545006,68.11287835616616
357.7218307272608,47.24748395985836,25.733897356346123,80.16586272221402,971,32.15901447392355,54.19517088699442,267.98030367916385,70.7434169997322,160.35980527258647,82.72689614893685
340.27965394531265,49.84600173371741,28.00110743560992,10.81448588072735,179,27.027548313295195,52.03280874546916,544.9108310242507,12.753685249425809,203.90546436838318,94.75931875583046
339.9542376879934,51.37077584189854,30.837880891563284,35.72776830480319,199,33.902805889163936,45.339616418594325,252.50281845364952,144.53015287289895,93.4590540457974,78.04039310979343
348.5160044953918,52.4007430549259,20.442840925773197,61.49882318543301,302,28.023496693552158,47.606639276541415,356.0555834162876,143.0425157995215,66.75172136199171,73.28234079629193
337.6563959137338,54.88909964672716,35.384981214457206,45.813550323167114,432,29.144013317385514,35.307336516256996,752.7676204343495,59.18010938131664,93.77266518181196,90.2129966516614
342.51315979858634,48.909789044016335,32.519546420621076,79.38730653520892,204,23.998291516244866,39.67081979153209,305.9841758819573,70.41544738990711,204.78966618442865,69.53796609695209
362.2251769028299,52.02062701751338,29.534469122287398,44.16140941674136,342,21.299613818932663,47.960808995173934,517.8465271820453,59.99929075127219,81.61109247844506,60.29414385374735
353.4796100711681,45.145748438853296,32.10541189977258,49.89534906132496,847,31.06616516619162,38.32617019643039,300.15558460867646,28.964372795847698,217.3071217360054,55.58064117756623
